,negative,neutral,positive
aa,5.766942162,1.343313475,1.209753564
aaa,2.839436794,1.205830762,2.564292723
aaaaaaaaaaaaa,0,0,2.5
aaaaagh,0,0,2.5
aaaaah,2.5,0,0
aaaaaw,2.5,0,0
aaaand,0,0,2.5
aaaarrgh,2.5,0,0
aaagh,0,0,2.5
aaahhhh,0,0,2.5
aaall,2.5,0,0
aaalwaysl,0,2.5,0
aaam,2.5,0,0
aaargh,5.678873587,0,2.095903274
aaarrrggghhh,2.5,0,0
aac,0,0,2.5
aachen,0,0,2.5
aacsrun,2.5,0,0
aadavantag,0,2.5,0
aadv,5,0,0
aadvantag,2.095903274,5.678873587,0
aag,10.31885116,0,1.430676558
aah,1.660964047,0,8.00392278
aahhhh,2.5,0,0
aaja,2.5,0,0
aajonus,0,0,2.5
aak,2.5,0,0
aakash,2.5,0,0
aalfr,2.5,0,0
aaliyah,2.630116867,0,4.271985235
aam,0,0,2.5
aamir,0.960252568,0,24.15885793
aamr,0,0,2.5
aamto,0,0,2.5
aan,2.5,0,0
aap,2.5,0,0
aar,2.5,0,0
aardman,1.724781463,0,7.540024413
aargh,10,0,0
aaron,1.903217818,0,6.50132225
aarp,1.660964047,0,8.00392278
aarrrgh,0,0,2.5
aashok,0,0,2.5
aasmaan,0,0,2.5
aaspect,2.5,0,0
aatish,0,0,10
aatrix,0,0,2.5
aaww,0,0,2.5
ab,1.634468112,0.951336727,5.678873587
ababi,0,0,2.5
abacab,0,0,2.5
aback,1.953570044,0,6.261707716
abagail,2.5,0,0
abagnal,2.095903274,0,5.678873587
abalon,0,0,2.5
abanaz,2.5,0,0
abandon,3.639081106,0,3.039950937
abandonn,0,0,2.5
abas,2.5,0,0
abash,5,0,0
abat,0,0,2.5
abawt,0,0,2.5
abb,2.5,0,0
abba,3.08155877,0.782011483,3.08155877
abbaesqu,0,0,2.5
abbey,2.193309742,0,5.345117011
abbi,3.719611071,0,2.978033117
abbot,0,0,27.5
abbott,2.095903274,0,5.678873587
abbrevi,4.899079389,0,2.34759015
abbu,2.5,0,0
abbyss,0,0,2.5
abc,2.624175435,0.58709861,4.025011128
abcfm,2.5,0,0
abcnetwork,2.5,0,0
abcnewsbayarea,2.5,0,0
abd,0,0,2.5
abdic,12.62925314,0,1.285097209
abdomi,0,0,2.5
abdomin,3.321928095,0,3.321928095
abdu,2.5,0,0
abduct,5.678873587,0.523975819,2.026294532
abdul,4.11458208,0,2.717562738
abdullah,5,0,0
abe,2.512941595,0,4.507575552
abecassi,2.5,0,0
abecedarian,0,0,2.5
abed,0,0,2.5
abel,2.512941595,0,4.507575552
abelien,0,0,2.5
abelton,20,0,0
abemethi,0,0,2.5
aben,2.5,0,0
abercrombi,2.095903274,0,5.678873587
aberdeen,0,0,10
abernathi,3.321928095,0,3.321928095
abernethi,0,0,5
aberr,1.430676558,0,10.31885116
aberystwyth,0,0,2.5
abet,1.49475316,0,9.547874667
abett,2.5,0,0
abhay,0,0,27.5
abhi,0,0,2.5
abhishek,2.5,0,0
abhor,1.742065383,0,7.423983574
abhorr,10.8967629,0,1.388581659
abi,0,2.5,0
abid,2.902793941,0,3.823778062
abigail,3.321928095,0,3.321928095
abigil,0,0,2.5
