,negative,neutral,positive,total
aa,73.0,24.0,11.0,108.0
aaa,0.0,4.0,2.0,6.0
aaaaahhhh,0.0,0.0,1.0,1.0
aaaawww,0.0,0.0,1.0,1.0
aadavantage,0.0,1.0,0.0,1.0
aadv,2.0,0.0,0.0,2.0
aadvantage,1.0,2.0,0.0,3.0
aah,0.0,0.0,1.0,1.0
aahoogendoorn,0.0,0.0,1.0,1.0
aaliyah,1.0,0.0,0.0,1.0
aamelia,0.0,0.0,1.0,1.0
aan,1.0,0.0,0.0,1.0
aaron,0.0,0.0,1.0,1.0
aaronshale,0.0,0.0,1.0,1.0
aaronstewart,0.0,0.0,1.0,1.0
aarp,2.0,0.0,1.0,3.0
ab,1.0,0.0,2.0,3.0
abandon,4.0,0.0,0.0,4.0
abandoned,4.0,0.0,0.0,4.0
abandonment,1.0,0.0,0.0,1.0
abbas,0.0,1.0,0.0,1.0
abbreviated,1.0,0.0,1.0,2.0
abbu,0.0,0.0,1.0,1.0
abc,2.0,2.0,0.0,4.0
abcnetwork,1.0,0.0,0.0,1.0
abd,0.0,0.0,1.0,1.0
abducted,0.0,1.0,0.0,1.0
abdul,1.0,0.0,0.0,1.0
abegruber,0.0,0.0,1.0,1.0
abelton,8.0,0.0,0.0,8.0
abhere,0.0,0.0,1.0,1.0
abhorrent,2.0,0.0,1.0,3.0
abi,0.0,1.0,0.0,1.0
abiban,0.0,0.0,1.0,1.0
abiding,1.0,0.0,0.0,1.0
abigailed,1.0,0.0,0.0,1.0
abilities,0.0,0.0,1.0,1.0
abisignorelli,0.0,0.0,1.0,1.0
abit,0.0,4.0,2.0,6.0
abject,1.0,0.0,0.0,1.0
able,217.0,138.0,160.0,515.0
ableton,0.0,0.0,1.0,1.0
ably,4.0,1.0,0.0,5.0
abolished,0.0,0.0,1.0,1.0
aborbing,0.0,1.0,0.0,1.0
aboriginal,1.0,0.0,0.0,1.0
abort,0.0,0.0,1.0,1.0
aborted,1.0,0.0,0.0,1.0
abou,1.0,0.0,0.0,1.0
aboul,0.0,1.0,0.0,1.0
abound,1.0,0.0,0.0,1.0
about,61.0,42.0,62.0,165.0
above,3.0,5.0,6.0,14.0
abq,0.0,1.0,0.0,1.0
abrahams,1.0,0.0,0.0,1.0
abrasive,1.0,0.0,4.0,5.0
abridged,1.0,0.0,0.0,1.0
abroad,3.0,1.0,3.0,7.0
abrupt,2.0,0.0,0.0,2.0
abruptly,0.0,2.0,1.0,3.0
abs,0.0,4.0,3.0,7.0
absent,1.0,0.0,1.0,2.0
abslutely,0.0,0.0,1.0,1.0
abso,0.0,0.0,1.0,1.0
absol,0.0,0.0,1.0,1.0
absolute,12.0,2.0,7.0,21.0
absolutel,0.0,0.0,1.0,1.0
absolutely,63.0,24.0,66.0,153.0
absolutley,0.0,0.0,1.0,1.0
absorb,28.0,0.0,4.0,32.0
absorbed,1.0,2.0,0.0,3.0
absorbing,12.0,4.0,4.0,20.0
absorbs,1.0,1.0,1.0,3.0
absoulutely,0.0,1.0,0.0,1.0
abstract,8.0,1.0,1.0,10.0
absurd,12.0,2.0,1.0,15.0
absurdist,2.0,2.0,2.0,6.0
absurdly,3.0,1.0,2.0,6.0
abt,1.0,0.0,3.0,4.0
abundant,3.0,0.0,0.0,3.0
abundantly,1.0,0.0,1.0,2.0
abuse,0.0,4.0,3.0,7.0
abused,7.0,4.0,7.0,18.0
abuses,0.0,0.0,1.0,1.0
abusing,0.0,4.0,2.0,6.0
abysmal,4.0,0.0,0.0,4.0
abysmally,1.0,0.0,0.0,1.0
abysmalred,0.0,0.0,1.0,1.0
ac,18.0,8.0,12.0,38.0
academic,2.0,0.0,0.0,2.0
academy,3.0,0.0,0.0,3.0
acc,0.0,4.0,0.0,4.0
acce,4.0,0.0,0.0,4.0
accelerated,0.0,1.0,0.0,1.0
accent,0.0,0.0,1.0,1.0
accenting,0.0,0.0,1.0,1.0
accentuate,0.0,0.0,1.0,1.0
accentuated,0.0,0.0,3.0,3.0
accentuating,1.0,0.0,0.0,1.0
accept,8.0,4.0,5.0,17.0
acceptable,18.0,3.0,8.0,29.0
accepted,3.0,2.0,5.0,10.0
accepting,9.0,3.0,0.0,12.0
accepts,6.0,0.0,3.0,9.0
accesible,0.0,0.0,2.0,2.0
accessary,0.0,0.0,1.0,1.0
accessed,0.0,4.0,2.0,6.0
accessible,8.0,8.0,11.0,27.0
accessing,1.0,1.0,0.0,2.0
accessorizing,0.0,0.0,1.0,1.0
accessory,0.0,4.0,3.0,7.0
accidental,2.0,2.0,0.0,4.0
accidentally,0.0,13.0,13.0,26.0
accidently,0.0,2.0,1.0,3.0
acclaimed,1.0,0.0,1.0,2.0
acco,2.0,0.0,1.0,3.0
accom,0.0,0.0,1.0,1.0
accomadate,0.0,4.0,0.0,4.0
accomidate,0.0,4.0,0.0,4.0
accommodate,13.0,1.0,11.0,25.0
accommodated,2.0,0.0,0.0,2.0
accommodates,0.0,0.0,1.0,1.0
accommodating,2.0,0.0,1.0,3.0
accomodate,0.0,0.0,4.0,4.0
accomodates,1.0,0.0,0.0,1.0
accompanied,1.0,0.0,1.0,2.0
accompanies,2.0,0.0,0.0,2.0
accompany,1.0,0.0,0.0,1.0
accompanying,2.0,1.0,4.0,7.0
accomplish,3.0,1.0,3.0,7.0
accomplished,9.0,6.0,5.0,20.0
accomplishes,2.0,1.0,2.0,5.0
accomplishing,0.0,1.0,0.0,1.0
accomplishment,0.0,1.0,0.0,1.0
according,12.0,1.0,8.0,21.0
accordingly,88.0,1.0,3.0,92.0
account,4.0,4.0,5.0,13.0
accountable,1.0,0.0,0.0,1.0
accountant,0.0,0.0,1.0,1.0
accounting,0.0,1.0,1.0,2.0
accounts,1.0,0.0,1.0,2.0
accoustic,0.0,0.0,3.0,3.0
accrue,0.0,0.0,1.0,1.0
accruing,1.0,0.0,0.0,1.0
acct,1.0,0.0,0.0,1.0
acctually,0.0,0.0,1.0,1.0
accumulated,1.0,0.0,1.0,2.0
accumulates,1.0,0.0,1.0,2.0
accurate,44.0,12.0,20.0,76.0
accurately,5.0,1.0,9.0,15.0
accuse,2.0,0.0,1.0,3.0
accused,3.0,0.0,1.0,4.0
accustomed,0.0,1.0,5.0,6.0
acds,0.0,0.0,1.0,1.0
ace,0.0,0.0,2.0,2.0
acerbic,2.0,0.0,0.0,2.0
acetal,0.0,0.0,1.0,1.0
ache,2.0,0.0,0.0,2.0
acheive,0.0,0.0,1.0,1.0
achieve,5.0,5.0,14.0,24.0
achieved,1.0,1.0,3.0,5.0
achievement,1.0,0.0,0.0,1.0
achieves,10.0,2.0,3.0,15.0
achieving,3.0,0.0,0.0,3.0
aching,1.0,1.0,3.0,5.0
achingly,6.0,0.0,0.0,6.0
achival,1.0,0.0,0.0,1.0
achmed,0.0,0.0,1.0,1.0
achronological,2.0,0.0,0.0,2.0
achy,0.0,0.0,1.0,1.0
acid,0.0,0.0,1.0,1.0
acidic,1.0,1.0,0.0,2.0
ackbarr,0.0,0.0,1.0,1.0
acknowledge,3.0,0.0,3.0,6.0
acknowledges,1.0,1.0,0.0,2.0
acknowledging,1.0,0.0,0.0,1.0
acnewsguy,1.0,0.0,0.0,1.0
acoustasonic,0.0,0.0,2.0,2.0
acoustic,165.0,120.0,420.0,705.0
acoustical,0.0,0.0,5.0,5.0
acoustically,0.0,0.0,4.0,4.0
acoustics,0.0,0.0,1.0,1.0
acquainted,2.0,0.0,0.0,2.0
acquire,1.0,1.0,0.0,2.0
acquired,3.0,1.0,6.0,10.0
acquires,1.0,0.0,0.0,1.0
acrid,1.0,0.0,0.0,1.0
acroamatic,0.0,0.0,1.0,1.0
across,0.0,0.0,2.0,2.0
