,negative,neutral,positive
aa,5.766942162284944,1.34331347518595,1.2097535640925807
aaa,2.8394367936337863,1.2058307616113493,2.5642927228407246
aaaaaaaaaaaaa,0.0,0.0,2.5
aaaaagh,0.0,0.0,2.5
aaaaah,2.5,0.0,0.0
aaaaaw,2.5,0.0,0.0
aaaand,0.0,0.0,2.5
aaaarrgh,2.5,0.0,0.0
aaagh,0.0,0.0,2.5
aaahhhh,0.0,0.0,2.5
aaall,2.5,0.0,0.0
aaalwaysl,0.0,2.5,0.0
aaam,2.5,0.0,0.0
aaargh,5.678873587267573,0.0,2.095903274289385
aaarrrggghhh,2.5,0.0,0.0
aac,0.0,0.0,2.5
aachen,0.0,0.0,2.5
aacsrun,2.5,0.0,0.0
aadavantag,0.0,2.5,0.0
aadv,5.0,0.0,0.0
aadvantag,2.095903274289385,5.678873587267573,0.0
aag,10.318851158516171,0.0,1.4306765580733931
aah,1.6609640474436815,0.0,8.003922779651097
aahhhh,2.5,0.0,0.0
aaja,2.5,0.0,0.0
aajonus,0.0,0.0,2.5
aak,2.5,0.0,0.0
aakash,2.5,0.0,0.0
aalfr,2.5,0.0,0.0
aaliyah,2.6301168673979136,0.0,4.271985235273362
aam,0.0,0.0,2.5
aamir,0.9602525677891276,0.0,24.15885792809679
aamr,0.0,0.0,2.5
aamto,0.0,0.0,2.5
aan,2.5,0.0,0.0
aap,2.5,0.0,0.0
aar,2.5,0.0,0.0
aardman,1.7247814630066518,0.0,7.540024413314111
aargh,10.0,0.0,0.0
aaron,1.9032178176420962,0.0,6.501322250365257
aarp,1.6609640474436815,0.0,8.003922779651097
aarrrgh,0.0,0.0,2.5
aashok,0.0,0.0,2.5
aasmaan,0.0,0.0,2.5
aaspect,2.5,0.0,0.0
aatish,0.0,0.0,10.0
aatrix,0.0,0.0,2.5
aaww,0.0,0.0,2.5
ab,1.634468111731971,0.9513367267308804,5.678873587267573
ababi,0.0,0.0,2.5
abacab,0.0,0.0,2.5
aback,1.9535700439406751,0.0,6.261707715779571
abagail,2.5,0.0,0.0
abagnal,2.095903274289385,0.0,5.678873587267573
abalon,0.0,0.0,2.5
abanaz,2.5,0.0,0.0
abandon,3.6390811062085224,0.0,3.0399509373977245
abandonn,0.0,0.0,2.5
abas,2.5,0.0,0.0
abash,5.0,0.0,0.0
abat,0.0,0.0,2.5
abawt,0.0,0.0,2.5
abb,2.5,0.0,0.0
abba,3.0815587699515854,0.7820114830995407,3.0815587699515854
abbaesqu,0.0,0.0,2.5
abbey,2.19330974196567,0.0,5.345117011325181
abbi,3.719611071037446,0.0,2.978033117136071
abbot,0.0,0.0,27.5
abbott,2.095903274289385,0.0,5.678873587267573
abbrevi,4.899079389427794,0.0,2.3475901497877913
abbu,2.5,0.0,0.0
abbyss,0.0,0.0,2.5
abc,2.6241754345210575,0.5870986096956184,4.025011127572496
abcfm,2.5,0.0,0.0
abcnetwork,2.5,0.0,0.0
abcnewsbayarea,2.5,0.0,0.0
abd,0.0,0.0,2.5
abdic,12.62925313651334,0.0,1.285097208938469
abdomi,0.0,0.0,2.5
abdomin,3.321928094887363,0.0,3.321928094887363
abdu,2.5,0.0,0.0
abduct,5.678873587267573,0.5239758185723462,2.026294531516277
abdul,4.1145820804822515,0.0,2.717562737549928
abdullah,5.0,0.0,0.0
abe,2.51294159473206,0.0,4.507575551943847
abecassi,2.5,0.0,0.0
abecedarian,0.0,0.0,2.5
abed,0.0,0.0,2.5
abel,2.51294159473206,0.0,4.507575551943847
abelien,0.0,0.0,2.5
abelton,20.0,0.0,0.0
abemethi,0.0,0.0,2.5
aben,2.5,0.0,0.0
abercrombi,2.095903274289385,0.0,5.678873587267573
aberdeen,0.0,0.0,10.0
abernathi,3.321928094887363,0.0,3.321928094887363
abernethi,0.0,0.0,5.0
aberr,1.4306765580733931,0.0,10.318851158516171
aberystwyth,0.0,0.0,2.5
abet,1.4947531601505835,0.0,9.547874667292193
abett,2.5,0.0,0.0
abhay,0.0,0.0,27.5
abhi,0.0,0.0,2.5
abhishek,2.5,0.0,0.0
abhor,1.7420653825330148,0.0,7.423983573584705
abhorr,10.896762903258734,0.0,1.388581658628238
abi,0.0,2.5,0.0
abid,2.9027939409368027,0.0,3.8237780619932944
abigail,3.321928094887363,0.0,3.321928094887363
abigil,0.0,0.0,2.5
abil,3.321928094887363,0.0,3.321928094887363
abilen,7.5,0.0,0.0
abingdon,0.0,0.0,5.0
abism,2.5,0.0,0.0
abit,2.2761793375349226,2.2761793375349226,1.7721967586109773
abject,8.003922779651097,0.0,1.6609640474436815
abkani,2.5,0.0,0.0
abl,2.7862585939350426,0.5539071688524562,3.8134509742819307
