,negative,neutral,positive
aa,5.878863823,1.53089535,1.008032944
aaa,0,5.678873587,2.095903274
aaaaahhhh,0,0,2.5
aaaawww,0,0,2.5
aadavantage,0,2.5,0
aadv,5,0,0
aadvantage,2.095903274,5.678873587,0
aah,0,0,2.5
aahoogendoorn,0,0,2.5
aaliyah,2.5,0,0
aamelia,0,0,2.5
aan,2.5,0,0
aaron,0,0,2.5
aaronshale,0,0,2.5
aaronstewart,0,0,2.5
aarp,5.678873587,0,2.095903274
ab,2.095903274,0,5.678873587
abandon,10,0,0
abandoned,10,0,0
abandonment,2.5,0,0
abbas,0,2.5,0
abbreviated,3.321928095,0,3.321928095
abbu,0,0,2.5
abc,3.321928095,3.321928095,0
abcnetwork,2.5,0,0
abd,0,0,2.5
abducted,0,2.5,0
abdul,2.5,0,0
abegruber,0,0,2.5
abelton,20,0,0
abhere,0,0,2.5
abhorrent,5.678873587,0,2.095903274
abi,0,2.5,0
abiban,0,0,2.5
abiding,2.5,0,0
abigailed,2.5,0,0
abilities,0,0,2.5
abisignorelli,0,0,2.5
abit,0,5.678873587,2.095903274
abject,2.5,0,0
able,2.664197877,1.7484714,1.969716606
ableton,0,0,2.5
ably,10.31885116,1.430676558,0
abolished,0,0,2.5
aborbing,0,2.5,0
aboriginal,2.5,0,0
abort,0,0,2.5
aborted,2.5,0,0
abou,2.5,0,0
aboul,0,2.5,0
abound,2.5,0,0
about,2.313989336,1.682836895,2.352430535
above,1.49475316,2.236345833,2.717562738
abq,0,2.5,0
abrahams,2.5,0,0
abrasive,1.430676558,0,10.31885116
abridged,2.5,0,0
abroad,2.717562738,1.183294662,2.717562738
abrupt,5,0,0
abruptly,0,5.678873587,2.095903274
abs,0,4.11458208,2.717562738
absent,3.321928095,0,3.321928095
abslutely,0,0,2.5
abso,0,0,2.5
absol,0,0,2.5
absolute,4.11458208,0.979250371,2.095903274
absolutel,0,0,2.5
absolutely,2.595037532,1.24303869,2.73861936
absolutley,0,0,2.5
absorb,17.24377353,0,1.107309365
absorbed,2.095903274,5.678873587,0
absorbing,4.507575552,1.430676558,1.430676558
absorbs,2.095903274,2.095903274,2.095903274
absoulutely,0,2.5,0
abstract,10.31885116,1,1
absurd,10.31885116,1.142777131,0.850274154
absurdist,2.095903274,2.095903274,2.095903274
absurdly,3.321928095,1.285097209,2.095903274
abt,1.660964047,0,8.00392278
abundant,7.5,0,0
abundantly,3.321928095,0,3.321928095
abuse,0,4.11458208,2.717562738
abused,2.437986967,1.53089535,2.437986967
abuses,0,0,2.5
abusing,0,5.678873587,2.095903274
abysmal,10,0,0
abysmally,2.5,0,0
abysmalred,0,0,2.5
ac,3.08155877,1.477773672,1.997593497
academic,5,0,0
academy,7.5,0,0
acc,0,10,0
acce,10,0,0
accelerated,0,2.5,0
accent,0,0,2.5
accenting,0,0,2.5
accentuate,0,0,2.5
accentuated,0,0,7.5
accentuating,2.5,0,0
accept,3.054750902,1.591371127,1.88154218
acceptable,4.827990927,1.01494327,1.787923614
accepted,1.912489289,1.430676558,3.321928095
accepting,8.00392278,1.660964047,0
accepts,5.678873587,0,2.095903274
accesible,0,0,5
accessary,0,0,2.5
accessed,0,5.678873587,2.095903274
accessible,1.892957862,1.892957862,2.564292723
accessing,3.321928095,3.321928095,0
accessorizing,0,0,2.5
accessory,0,4.11458208,2.717562738
accidental,3.321928095,3.321928095,0
accidentally,0,3.321928095,3.321928095
accidently,0,5.678873587,2.095903274
acclaimed,3.321928095,0,3.321928095
acco,5.678873587,0,2.095903274
accom,0,0,2.5
accomadate,0,10,0
accomidate,0,10,0
accommodate,3.521168217,0.715338279,2.804676782
accommodated,5,0,0
accommodates,0,0,2.5
accommodating,5.678873587,0,2.095903274
accomodate,0,0,10
accomodates,2.5,0,0
accompanied,3.321928095,0,3.321928095
accompanies,5,0,0
accompany,2.5,0,0
accompanying,1.838005394,1.183294662,4.11458208
accomplish,2.717562738,1.183294662,2.717562738
accomplished,2.883610395,1.912489289,1.660964047
accomplishes,2.512941595,1.430676558,2.512941595
accomplishing,0,2.5,0
accomplishment,0,2.5,0
according,4.11458208,0.756304196,2.385898532
accordingly,51.79963538,0.509219981,0.672645782
account,1.953570044,1.953570044,2.409793315
accountable,2.5,0,0
accountant,0,0,2.5
accounting,0,3.321928095,3.321928095
accounts,3.321928095,0,3.321928095
accoustic,0,0,7.5
accrue,0,0,2.5
accruing,2.5,0,0
acct,2.5,0,0
acctually,0,0,2.5
accumulated,3.321928095,0,3.321928095
accumulates,3.321928095,0,3.321928095
accurate,4.212993519,1.247454653,1.724781463
accurately,2.095903274,0.850274154,4.507575552
accuse,5.678873587,0,2.095903274
accused,8.00392278,0,1.660964047
accustomed,0,1.285097209,12.62925314
acds,0,0,2.5
ace,0,0,5
acerbic,5,0,0
acetal,0,0,2.5
ache,5,0,0
acheive,0,0,2.5
achieve,1.467908789,1.467908789,4.271985235
achieved,1.430676558,1.430676558,4.507575552
achievement,2.5,0,0
achieves,5.678873587,1.142777131,1.430676558
achieving,7.5,0,0
aching,1.430676558,1.430676558,4.507575552
achingly,15,0,0
achival,2.5,0,0
achmed,0,0,2.5
achronological,5,0,0
achy,0,0,2.5
acid,0,0,2.5
acidic,3.321928095,3.321928095,0
ackbarr,0,0,2.5
acknowledge,3.321928095,0,3.321928095
acknowledges,3.321928095,3.321928095,0
acknowledging,2.5,0,0
acnewsguy,2.5,0,0
acoustasonic,0,0,5
acoustic,1.585526872,1.300376807,4.445633373
acoustical,0,0,12.5
acoustically,0,0,10
acoustics,0,0,2.5
acquainted,5,0,0
acquire,3.321928095,3.321928095,0
acquired,1.912489289,1,4.507575552
acquires,2.5,0,0
acrid,2.5,0,0
acroamatic,0,0,2.5
across,0,0,5
acsam,0,0,2.5
act,2.717562738,1.183294662,2.717562738
actaully,0,0,2.5
acted,4.027002742,1.699894774,1.331559688
acting,6.261707716,1.285097209,1.175499878
activate,1.430676558,2.512941595,2.512941595
activated,0,5.094382474,2.276179338
activating,0,0,2.5
active,1.508846749,2.877802214,2.095903274
actively,3.321928095,0,3.321928095
actor,0,0,2.5
actorish,2.5,0,0
actorly,2.5,0,0
actory,2.5,0,0
actress,0,2.5,0
acts,1.53089535,2.095903274,2.839436794
actual,2.73861936,2.152703637,1.545900087
actually,1.967181581,1.398274109,3.294375673
actualy,2.5,0,0
actuate,0,0,2.5
actuated,0,0,2.5
actuating,0,0,2.5
actully,0,0,2.5
acurate,0,2.5,0
acurately,0,0,2.5
acutally,0,0,2.5
acute,5.678873587,0,2.095903274
acw,0,2.5,0
ada,2.5,0,0
adad,0,0,2.5
adam,8.776290848,1.230143399,0.897711718
adamant,2.5,0,0
adamcsmith,0,0,2.5
adame,0,0,2.5
adamlawlz,0,0,2.5
adamrothwell,0,0,2.5
adapt,0,3.321928095,3.321928095
adaptable,0,0,2.5
adapted,5.678873587,2.095903274,0
adapter,0,0,10
adapting,0,0,2.5
adaptor,0,0,2.5
adapts,2.5,0,0
adatper,0,0,2.5
adcontrarian,0,0,2.5
add,1.493618459,2.198551831,2.766839731
addario,0,1.205830762,14.36040312
added,1.183294662,1.674162572,4.572919023
addessi,0,2.5,0
addict,3.321928095,0,3.321928095
addicted,1.047951637,0,19.54937806
addicting,0,0,12.5
addictive,1.285097209,0,12.62925314
addicts,0,0,2.5
addieking,0,0,2.5
adding,1.53089535,0.79663977,7.075680992
additional,1.505552709,2.193309742,2.75347149
additionally,1,1.430676558,6.455696236
addled,0,0,2.5
address,4.11458208,2.095903274,0.979250371
addressed,10,0,0
addresses,1.660964047,3.321928095,1.660964047
addressing,5.678873587,0,2.095903274
adds,1.537598896,2.070935404,2.862584424
addtional,0,0,2.5
ade,0,0,2.5
adelaide,0,0,2.5
adele,0,0,2.5
adept,2.095903274,0,5.678873587
adequate,1.047951637,3.662986595,2.226712605
adequately,1.591371127,3.620480759,1.591371127
adhere,2.5,0,0
adhering,2.5,0,0
adhesive,0,0,10
adjacent,3.321928095,3.321928095,0
adjective,2.5,0,0
adjoining,0,0,2.5
adjust,0.704657422,2.207566068,4.650961067
adjustable,0.908074372,2.058428773,4.421450477
adjusted,0,1.73239246,7.488454206
adjusting,1.963456393,1.49475316,3.103476472
adjustment,0,0,12.5
adjustments,0,0,2.5
adjusts,0,1.838005394,6.843313779
admanic,0,0,2.5
admirable,6.145250461,1.375518225,1.107309365
admirably,2.512941595,1.430676558,2.512941595
admiral,0,0,12.5
admire,6.455696236,1,1.430676558
admired,0,5,0
admiring,3.321928095,0,3.321928095
admit,1.815186863,1.240417813,4.00196139
admitted,7.5,0,0
admittedly,2.409793315,0,4.742632391
admitting,2.5,0,0
adobe,0,0,2.5
adobo,0,2.5,0
adolescent,10.31885116,1.430676558,0
adopt,5,0,0
adopted,3.321928095,3.321928095,0
adopting,1.660964047,8.00392278,0
adopts,2.5,0,0
adorable,1.35068935,0,11.47444617
adorably,5,0,0
adore,0,3.321928095,3.321928095
adored,3.321928095,0,3.321928095
adoredesalon,0,0,2.5
adoresss,0,0,2.5
adoring,2.5,0,0
adorned,0,2.5,0
adorns,2.5,0,0
adrenaline,2.5,0,0
adrenalineluke,0,0,2.5
adrenalized,2.5,0,0
adrian,3.321928095,1.660964047,1.660964047
adricorn,0,0,2.5
adrien,2.5,0,0
adroid,0,2.5,0
adroit,3.321928095,3.321928095,0
adroitly,0,2.095903274,5.678873587
adtech,0,0,5
adult,0,2.5,0
adults,2.095903274,2.095903274,2.095903274
advance,0,2.095903274,5.678873587
advanced,4.417031808,1.240417813,1.660964047
advances,2.5,0,0
advancing,2.5,0,0
advant,0,2.5,0
advantage,0,5.678873587,2.095903274
adve,0,0,2.5
adventure,10.31885116,1.430676558,0
adventurous,12.62925314,0,1.285097209
adverse,10,0,0
advertise,4.899079389,1.107309365,1.660964047
advertised,0.855584212,2.334107233,3.962937471
advertisement,2.5,0,0
advertises,0,10,0
advertising,3.321928095,0,3.321928095
advertized,0,2.5,0
advice,0,0,2.5
advisable,0,10,0
advise,4.899079389,2.34759015,0
advised,2.978033117,0.897711718,2.978033117
advises,2.5,0,0
advising,5,0,0
advisory,2.236345833,5.211440485,0
adware,0,5,0
adyar,0,0,2.5
ae,0,0,2.5
aerial,2.5,0,0
aesome,0,0,2.5
aesthetic,12.1674105,0.683808376,1.162333865
aesthetically,1.430676558,1.430676558,4.507575552
aex,0,2.5,0
af,0,2.5,0
afallendevil,0,0,2.5
afar,0,0,2.5
affable,8.00392278,0,1.660964047
affe,0,2.5,0
affect,3.447864361,0.62850999,2.978033117
affected,2.676798077,1.754769835,1.953570044
affecting,4.035765214,1.316364786,1.713571148
affectingly,2.5,0,0
affectionate,5,0,0
affectionately,5,0,0
affects,0,0,10
affirm,2.5,0,0
affirmational,2.5,0,0
affirming,24.15885793,0.960252568,0
affirms,2.5,0,0
affleck,5,0,0
afflicting,0,2.5,0
afflicts,2.5,0,0
affluence,2.5,0,0
affluent,2.5,0,0
affor,0,2.5,0
afford,2.305977578,1.640024953,2.418659426
affordable,0.768621787,1.979610102,5.114571232
afforded,0,3.321928095,3.321928095
affords,2.5,0,0
affronted,0,2.5,0
afghan,5,0,0
afiqah,0,0,2.5
aflame,2.5,0,0
afloat,8.00392278,1.660964047,0
aforementioned,2.5,0,0
afraid,4.376763563,1.15566665,1.772196759
afresh,0,2.5,0
africa,3.321928095,0,3.321928095
african,6.455696236,1,1.430676558
afte,3.321928095,0,3.321928095
afterall,0,0,2.5
afterschool,2.5,0,0
afterthephoto,0,0,2.5
afterthought,2.5,0,0
afterward,0,2.5,0
afthernoo,0,0,2.5
aftr,2.5,0,0
aftre,0,0,2.5
afycso,0,0,2.5
ag,0,0,5
aga,2.5,0,0
agai,3.321928095,0,3.321928095
again,2.766839731,1.307789963,2.465320112
agains,2.5,0,0
agape,2.5,0,0
aged,3.321928095,2.839436794,0.79663977
agen,0,0,2.5
agent,11.08934761,0.830482024,1.107309365
ages,0,0,2.5
agey,2.5,0,0
aggiemensgolf,0,2.5,0
aggrandizing,5,0,0
aggravated,2.5,0,0
aggravating,3.321928095,1.660964047,1.660964047
aggresive,0,0,2.5
aggressive,1.979610102,0.830482024,4.899079389
aggressively,2.34759015,2.34759015,1.660964047
aggrieved,2.5,0,0
agian,2.5,0,0
agile,3.321928095,0,3.321928095
agilitymoo,0,0,2.5
aging,8.00392278,0,1.660964047
agnostic,2.5,0,0
ago,4.57139986,1.084418754,1.788988484
agonizing,3.321928095,3.321928095,0
agood,0,2.5,0
agre,0,0,2.5
agree,0.94277556,1.037572764,10.57573144
agreeable,0,12.62925314,1.285097209
agreeably,3.321928095,3.321928095,0
agreed,1.107309365,4.899079389,1.660964047
agreeing,0,0,2.5
agrees,0,0,2.5
agressive,0,0,2.5
aground,2.5,0,0
agt,2.095903274,0,5.678873587
aguilar,0,0,2.5
ah,1.619957992,0,8.335047778
aha,0,0,10
ahahah,0,0,2.5
ahahaha,0,0,7.5
ahahahaha,0,0,2.5
ahahhaha,0,0,2.5
ahan,0,0,2.5
ahdchild,0,0,2.5
ahe,0,0,2.5
ahead,1.979610102,0.903171058,4.648668359
aheil,0,0,2.5
ahh,0,0,17.5
ahhh,0,0,12.5
ahhhh,1.107309365,0,17.24377353
ahhhhhhh,0,0,2.5
ahissrich,0,0,2.5
ahluscu,0,0,2.5
ahm,0,0,2.5
ahola,0,2.5,0
ahold,0,2.5,0
ai,2.717562738,2.236345833,1.49475316
aidan,0,0,2.5
aided,2.5,0,0
aiden,0,0,2.5
aidenchan,0,0,2.5
aif,0,2.5,0
aigburtharmsdo,0,0,2.5
aikabelle,0,0,2.5
aiki,0,0,2.5
aikido,0,0,2.5
ailing,0,5,0
aim,5.678873587,0,2.095903274
aimed,5.678873587,0.926628408,1.660964047
aiming,3.321928095,0,3.321928095
aimless,5,0,0
aimlessly,7.5,0,0
aims,14.93723606,0,1.183294662
ain,0.850274154,2.095903274,4.507575552
aint,0,0,7.5
air,5.678873587,0,2.095903274
airborn,0,10,0
airborne,2.095903274,2.095903274,2.095903274
airbourne,0,0,2.5
airbus,2.5,0,0
aircraft,2.5,0,0
aircrft,2.5,0,0
aired,0,0,5
aires,2.5,0,0
airfare,2.5,0,0
airhead,3.321928095,0,3.321928095
airing,5.678873587,0,2.095903274
airl,2.5,0,0
airless,2.5,0,0
airlin,5,0,0
airlinegave,2.5,0,0
airlines,7.5,0,0
airnchoo,0,0,2.5
airplane,2.5,0,0
airport,7.009304677,0.911651811,1.430676558
airrun,0,0,2.5
airs,3.321928095,3.321928095,0
airstairs,2.5,0,0
airtight,0,0,2.5
airtime,0,0,2.5
airw,5,0,0
airwa,0,2.5,0
airways,2.654275027,3.321928095,0.911651811
airy,1.660964047,0,8.00392278
aisle,5,0,0
ajq,0,0,2.5
ak,0,0,2.5
aka,3.321928095,0,3.321928095
akajipster,0,0,2.5
akali,0,0,2.5
akg,0,0,7.5
akgcandlefish,0,0,2.5
akin,2.717562738,1.183294662,2.717562738
akira,0,0,2.5
akshatk,0,0,2.5
aktually,0,0,2.5
al,1.660964047,0.830482024,6.145250461
alabama,3.321928095,0,3.321928095
alain,2.5,0,0
alameda,0,0,2.5
alamo,2.5,0,0
alan,2.095903274,0,5.678873587
alancarr,0,0,2.5
alancostello,0,0,2.5
alarmed,0,2.5,0
alarming,2.095903274,2.095903274,2.095903274
alarmingly,0,0,2.5
alas,2.512941595,2.512941595,1.430676558
alaska,0,5.678873587,2.095903274
alb,2.5,0,0
albany,3.321928095,0,3.321928095
albert,0,10,0
album,1.285097209,0,12.62925314
albums,0,0,2.5
albuquerque,0,5,0
alcatraz,2.5,0,0
alchemical,2.5,0,0
alchohol,0,0,2.5
alcoholic,0,2.5,0
aldrich,2.5,0,0
aled,0,0,2.5
alefragisp,0,0,2.5
alert,6.843313779,0,1.838005394
alerted,5,0,0
alesa,0,0,2.5
alex,0,2.717562738,4.11458208
alexa,0,84.03909859,0.637673065
alexandramusic,0,0,7.5
alexandre,5,0,0
alexcraven,0,0,2.5
alexiaaa,0,0,2.5
alexjreid,0,0,2.5
alexpuig,0,0,2.5
alfamilyoffour,2.5,0,0
alfie,0,0,2.5
alfonso,2.5,0,0
alfred,8.00392278,1.660964047,0
algorithmic,0,0,2.5
ali,3.321928095,0,3.321928095
alias,0,2.5,0
alicam,0,0,2.5
alicia,0,0,5
alien,2.512941595,0,4.507575552
alienate,1.660964047,0,8.00392278
alienated,3.321928095,3.321928095,0
alienating,5.678873587,2.095903274,0
aliens,2.5,0,0
alight,0,2.5,0
align,52.5,0,0
aligned,5.678873587,0,2.095903274
alignment,0,0,7.5
alike,3.321928095,0,3.321928095
alirght,0,0,2.5
alist,2.5,0,0
alittle,0,5.678873587,2.095903274
alive,4.558717321,1.384973821,1.461461094
alix,0,0,2.5
alkaline,0,0,2.5
all,1.772196759,0,7.230516926
alleged,2.095903274,5.678873587,0
allegedly,5.678873587,2.095903274,0
allegorical,0,2.5,0
allegro,0,0,2.5
allen,7.075680992,1.285097209,1.047951637
allergic,5,0,0
alleviate,5.678873587,0,2.095903274
alley,0,0,2.5
allied,2.5,0,0
allison,2.5,0,0
allll,2.5,0,0
alllllll,0,0,2.5
allmost,0,0,2.5
allodi,0,0,2.5
alloted,0,0,2.5
allow,2.240334626,1.398196209,2.879932023
allowable,2.5,0,0
allowed,2.936525214,2.313160743,1.316364786
allowing,2.095903274,1.237448446,3.430712062
allows,1.829683329,1.204036914,4.073109583
alloy,0,0,5
allready,2.5,0,0
allright,0,2.5,0
allthe,0,2.5,0
alluring,7.5,0,0
allways,0,0,2.5
ally,2.5,0,0
allying,0,2.5,0
alm,0,0,2.5
almo,2.5,0,0
almod,0,2.5,0
almodovar,2.5,0,0
almonds,0,0,2.5
almost,2.321996592,1.510441864,2.591670569
alnico,0,0,2.5
alo,0,0,2.5
aloft,3.321928095,0,3.321928095
alone,2.324907215,1.516388835,2.579175241
along,1.808835177,2.0208143,2.512941595
alongside,0,2.095903274,5.678873587
alot,1.285097209,0,12.62925314
alota,0,0,2.5
alpha,0,0,2.5
alrdy,0,0,2.5
alrea,0,0,2.5
alread,2.5,0,0
already,2.472226885,1.49475316,2.456756129
alright,1.201188341,2.395005562,3.054750902
also,1.821439271,1.603650084,3.133673815
alson,2.5,0,0
alt,5,0,0
alter,1.430676558,10.31885116,0
altered,2.095903274,0,5.678873587
altering,1.285097209,5.678873587,1.285097209
altern,2.5,0,0
alternate,6.145250461,0,1.979610102
alternately,17.24377353,1.107309365,0
alternating,5,0,0
alternative,1.604494406,1.604494406,3.560916117
alternatively,0,0,7.5
alters,0,0,2.5
althought,0,2.5,0
altitude,0,2.5,0
altman,5,0,0
